position_x:0.0 position_y:0.0 position_z:1.1752700805664062
position_x:64.74108123779297 position_y:12.607708930969238 position_z:-5.715285778045654
position_x:65.22371673583984 position_y:12.612201690673828 position_z:-5.573171615600586
position_x:65.58338928222656 position_y:12.595273971557617 position_z:-5.549365043640137
position_x:65.95762634277344 position_y:12.552538871765137 position_z:-5.584805488586426
position_x:66.34268951416016 position_y:12.478754043579102 position_z:-5.693802356719971
position_x:66.73102569580078 position_y:12.372503280639648 position_z:-5.865731239318848
position_x:67.23814392089844 position_y:12.194231986999512 position_z:-6.142366409301758
position_x:67.6707534790039 position_y:12.01813793182373 position_z:-6.378922939300537
position_x:68.1222915649414 position_y:11.813462257385254 position_z:-6.596827507019043
position_x:68.5716781616211 position_y:11.577466011047363 position_z:-6.873452186584473
position_x:69.02991485595703 position_y:11.309163093566895 position_z:-7.229739665985107
position_x:69.59910583496094 position_y:10.944610595703125 position_z:-7.790347099304199
position_x:70.00509643554688 position_y:10.67016315460205 position_z:-8.240045547485352
position_x:70.39176177978516 position_y:10.39742660522461 position_z:-8.719881057739258
position_x:70.75006103515625 position_y:10.134600639343262 position_z:-9.21377182006836
position_x:71.07962799072266 position_y:9.884992599487305 position_z:-9.710765838623047
position_x:71.50785064697266 position_y:9.555689811706543 position_z:-10.22787857055664
position_x:71.83946990966797 position_y:9.2908935546875 position_z:-10.563790321350098
position_x:72.16275024414062 position_y:9.016152381896973 position_z:-10.90176010131836
position_x:72.47943878173828 position_y:8.741251945495605 position_z:-11.162006378173828
position_x:72.79049682617188 position_y:8.468332290649414 position_z:-11.38461685180664
position_x:73.19532775878906 position_y:8.115013122558594 position_z:-11.624141693115234
position_x:73.50393676757812 position_y:7.844466209411621 position_z:-11.829713821411133
position_x:73.81399536132812 position_y:7.570520401000977 position_z:-12.040510177612305
position_x:74.1026611328125 position_y:7.312955379486084 position_z:-12.194504737854004
position_x:74.37059783935547 position_y:7.073105812072754 position_z:-12.30333423614502
position_x:74.70993041992188 position_y:6.761099338531494 position_z:-12.40964126586914
position_x:74.94554901123047 position_y:6.534752368927002 position_z:-12.430667877197266
position_x:75.16858673095703 position_y:6.305779933929443 position_z:-12.38290023803711
position_x:75.37311553955078 position_y:6.0809526443481445 position_z:-12.269001007080078
position_x:75.56254577636719 position_y:5.855137348175049 position_z:-12.110974311828613
position_x:75.73054504394531 position_y:5.616454124450684 position_z:-11.988103866577148
position_x:75.85161590576172 position_y:5.388082504272461 position_z:-11.928153991699219
position_x:75.95074462890625 position_y:5.149813175201416 position_z:-11.844419479370117
position_x:76.02503967285156 position_y:4.876708984375 position_z:-11.746367454528809
position_x:76.05577850341797 position_y:4.593111038208008 position_z:-11.700679779052734
position_x:76.04727935791016 position_y:4.289552211761475 position_z:-11.707283020019531
position_x:75.99691009521484 position_y:3.9653100967407227 position_z:-11.762112617492676
position_x:75.89897155761719 position_y:3.616142511367798 position_z:-11.889201164245605
position_x:75.72354888916016 position_y:3.1620235443115234 position_z:-12.125130653381348
position_x:75.55770874023438 position_y:2.7871484756469727 position_z:-12.292421340942383
position_x:75.37240600585938 position_y:2.394818067550659 position_z:-12.43383502960205
position_x:75.1706314086914 position_y:1.9973710775375366 position_z:-12.605401039123535
position_x:74.95771789550781 position_y:1.5870741605758667 position_z:-12.734274864196777
position_x:74.70939636230469 position_y:1.1093546152114868 position_z:-12.90710163116455
position_x:74.50715637207031 position_y:0.7020695805549622 position_z:-13.088529586791992
position_x:74.30427551269531 position_y:0.2530066967010498 position_z:-13.318083763122559
position_x:74.129150390625 position_y:-0.1627012938261032 position_z:-13.464038848876953
position_x:73.96541595458984 position_y:-0.6023351550102234 position_z:-13.603769302368164
position_x:73.77983093261719 position_y:-1.1827099323272705 position_z:-13.768856048583984
position_x:73.6560287475586 position_y:-1.6405351161956787 position_z:-13.85852336883545
position_x:73.56340026855469 position_y:-2.1381778717041016 position_z:-14.040780067443848
position_x:73.50868225097656 position_y:-2.6020398139953613 position_z:-14.259455680847168
position_x:73.47879791259766 position_y:-3.0581817626953125 position_z:-14.500513076782227
position_x:73.46488952636719 position_y:-3.5934557914733887 position_z:-14.735050201416016
position_x:73.47962188720703 position_y:-4.023797512054443 position_z:-14.962695121765137
position_x:73.51420593261719 position_y:-4.412330627441406 position_z:-15.22457504272461
position_x:73.55516815185547 position_y:-4.773772716522217 position_z:-15.433158874511719
position_x:73.60576629638672 position_y:-5.1199774742126465 position_z:-15.612987518310547
position_x:73.70790100097656 position_y:-5.52564001083374 position_z:-15.872109413146973
position_x:73.82274627685547 position_y:-5.8123602867126465 position_z:-16.07704734802246
position_x:73.95621490478516 position_y:-6.0992960929870605 position_z:-16.201900482177734
position_x:74.10665893554688 position_y:-6.386966705322266 position_z:-16.250946044921875
position_x:74.27226257324219 position_y:-6.677148818969727 position_z:-16.223758697509766
position_x:74.50335693359375 position_y:-7.040798187255859 position_z:-16.146488189697266
position_x:74.71549224853516 position_y:-7.33555793762207 position_z:-16.125551223754883
position_x:74.95689392089844 position_y:-7.657773017883301 position_z:-16.043210983276367
position_x:75.20606994628906 position_y:-7.98573112487793 position_z:-15.938467025756836
position_x:75.46314239501953 position_y:-8.325179100036621 position_z:-15.794817924499512
position_x:75.82234954833984 position_y:-8.78976058959961 position_z:-15.609328269958496
position_x:76.09494018554688 position_y:-9.140413284301758 position_z:-15.458072662353516
position_x:76.37535095214844 position_y:-9.500921249389648 position_z:-15.256843566894531
position_x:76.65418243408203 position_y:-9.854913711547852 position_z:-15.077303886413574
position_x:76.94048309326172 position_y:-10.214466094970703 position_z:-14.926857948303223
position_x:77.29197692871094 position_y:-10.658493041992188 position_z:-14.674298286437988
position_x:77.58563232421875 position_y:-11.028921127319336 position_z:-14.432657241821289
position_x:77.89959716796875 position_y:-11.426321983337402 position_z:-14.237396240234375
position_x:78.2029037475586 position_y:-11.812685012817383 position_z:-14.064143180847168
position_x:78.49952697753906 position_y:-12.194950103759766 position_z:-13.900324821472168
position_x:78.91352844238281 position_y:-12.732190132141113 position_z:-13.726741790771484
position_x:79.20911407470703 position_y:-13.119641304016113 position_z:-13.601214408874512
position_x:79.510986328125 position_y:-13.521346092224121 position_z:-13.504106521606445
position_x:79.8133544921875 position_y:-13.923267364501953 position_z:-13.3377046585083
position_x:80.13040161132812 position_y:-14.343506813049316 position_z:-13.125680923461914
position_x:80.51616668701172 position_y:-14.860525131225586 position_z:-12.974496841430664
position_x:80.80589294433594 position_y:-15.254847526550293 position_z:-12.918447494506836
position_x:81.10213470458984 position_y:-15.666525840759277 position_z:-12.874597549438477
