position_x:0.0 position_y:0.0 position_z:-0.3405528664588928
position_x:53.778907775878906 position_y:29.58521270751953 position_z:-4.280785083770752
position_x:54.12896728515625 position_y:29.359586715698242 position_z:-4.217817783355713
position_x:54.52103042602539 position_y:29.109874725341797 position_z:-4.146674156188965
position_x:54.87278747558594 position_y:28.888896942138672 position_z:-4.070431232452393
position_x:55.216278076171875 position_y:28.67740821838379 position_z:-3.9963788986206055
position_x:55.574134826660156 position_y:28.459949493408203 position_z:-3.993224620819092
position_x:55.97859573364258 position_y:28.215717315673828 position_z:-4.038537979125977
position_x:56.346412658691406 position_y:27.993080139160156 position_z:-4.039510250091553
position_x:56.72846984863281 position_y:27.758377075195312 position_z:-4.036595821380615
position_x:57.09693145751953 position_y:27.529037475585938 position_z:-4.0391459465026855
position_x:57.48768615722656 position_y:27.28182601928711 position_z:-4.079112529754639
position_x:57.85671615600586 position_y:27.04519271850586 position_z:-4.094725608825684
position_x:58.25190353393555 position_y:26.78792953491211 position_z:-4.171128273010254
position_x:58.65739059448242 position_y:26.51704216003418 position_z:-4.242959022521973
position_x:59.11761474609375 position_y:26.199054718017578 position_z:-4.270575523376465
position_x:59.62637710571289 position_y:25.828632354736328 position_z:-4.3614420890808105
position_x:60.08749771118164 position_y:25.486499786376953 position_z:-4.353443145751953
position_x:60.539466857910156 position_y:25.145727157592773 position_z:-4.287393569946289
position_x:61.03056716918945 position_y:24.762731552124023 position_z:-4.279936790466309
position_x:61.50269317626953 position_y:24.39023780822754 position_z:-4.18173885345459
position_x:61.99348831176758 position_y:24.0053768157959 position_z:-4.049441337585449
position_x:62.43901824951172 position_y:23.66291046142578 position_z:-4.0076446533203125
position_x:62.8720588684082 position_y:23.333599090576172 position_z:-3.9726855754852295
position_x:63.318885803222656 position_y:23.001174926757812 position_z:-3.969613552093506
position_x:63.7647819519043 position_y:22.681533813476562 position_z:-4.008450508117676
position_x:64.17871856689453 position_y:22.395483016967773 position_z:-4.040290355682373
position_x:64.59745025634766 position_y:22.117507934570312 position_z:-4.136289596557617
position_x:64.9936294555664 position_y:21.863637924194336 position_z:-4.282467842102051
position_x:65.42532348632812 position_y:21.58660125732422 position_z:-4.392283916473389
position_x:65.86349487304688 position_y:21.305286407470703 position_z:-4.422104835510254
position_x:66.27799987792969 position_y:21.037349700927734 position_z:-4.380497932434082
position_x:66.70722198486328 position_y:20.75677490234375 position_z:-4.298505783081055
position_x:67.0698013305664 position_y:20.511489868164062 position_z:-4.263620376586914
position_x:67.40557861328125 position_y:20.2688045501709 position_z:-4.2585062980651855
position_x:67.73037719726562 position_y:19.999122619628906 position_z:-4.3274431228637695
position_x:67.98722076416016 position_y:19.744300842285156 position_z:-4.424055576324463
position_x:68.22865295410156 position_y:19.464393615722656 position_z:-4.460078239440918
position_x:68.46493530273438 position_y:19.118244171142578 position_z:-4.447727203369141
position_x:68.64966583251953 position_y:18.786672592163086 position_z:-4.365172863006592
position_x:68.83106231689453 position_y:18.396862030029297 position_z:-4.202308654785156
position_x:68.96136474609375 position_y:18.03776741027832 position_z:-4.042544841766357
position_x:69.07805633544922 position_y:17.643760681152344 position_z:-3.8204400539398193
position_x:69.16851043701172 position_y:17.170425415039062 position_z:-3.673830032348633
position_x:69.22286224365234 position_y:16.765926361083984 position_z:-3.61850905418396
position_x:69.27006530761719 position_y:16.270977020263672 position_z:-3.615198850631714
position_x:69.30878448486328 position_y:15.779276847839355 position_z:-3.529740810394287
position_x:69.33451080322266 position_y:15.297106742858887 position_z:-3.4441535472869873
position_x:69.34805297851562 position_y:14.856012344360352 position_z:-3.3721611499786377
position_x:69.355224609375 position_y:14.408028602600098 position_z:-3.2528164386749268
position_x:69.3524169921875 position_y:13.8850736618042 position_z:-3.16219162940979
position_x:69.34749603271484 position_y:13.344367027282715 position_z:-2.997410774230957
position_x:69.34031677246094 position_y:12.85754108428955 position_z:-2.876594305038452
position_x:69.3321533203125 position_y:12.321949005126953 position_z:-2.777282238006592
position_x:69.32072448730469 position_y:11.759002685546875 position_z:-2.69822359085083
position_x:69.3076400756836 position_y:11.198720932006836 position_z:-2.5416505336761475
position_x:69.29498291015625 position_y:10.543172836303711 position_z:-2.3789095878601074
position_x:69.28092956542969 position_y:9.9363431930542 position_z:-2.285369873046875
position_x:69.26596069335938 position_y:9.326374053955078 position_z:-2.1349332332611084
position_x:69.24848937988281 position_y:8.760186195373535 position_z:-2.08054518699646
position_x:69.22991943359375 position_y:8.223819732666016 position_z:-2.0462095737457275
position_x:69.2127914428711 position_y:7.704403400421143 position_z:-1.917511224746704
position_x:69.19237518310547 position_y:7.1768975257873535 position_z:-1.746387004852295
position_x:69.16976928710938 position_y:6.540223598480225 position_z:-1.6024576425552368
position_x:69.14630889892578 position_y:5.970938205718994 position_z:-1.4278897047042847
position_x:69.11480712890625 position_y:5.2575554847717285 position_z:-1.2636263370513916
position_x:69.08402252197266 position_y:4.563295364379883 position_z:-1.1945900917053223
position_x:69.04719543457031 position_y:3.890904664993286 position_z:-1.235545039176941
position_x:69.00508880615234 position_y:3.15205979347229 position_z:-1.270804762840271
position_x:68.96794128417969 position_y:2.463695526123047 position_z:-1.3851698637008667
position_x:68.92740631103516 position_y:1.7895976305007935 position_z:-1.45540452003479
position_x:68.87899017333984 position_y:1.1390193700790405 position_z:-1.6488559246063232
position_x:68.82085418701172 position_y:0.45476627349853516 position_z:-1.9264142513275146
position_x:68.75517272949219 position_y:-0.28996723890304565 position_z:-2.166764736175537
position_x:68.68627166748047 position_y:-1.0336562395095825 position_z:-2.306445837020874
position_x:68.62108612060547 position_y:-1.6636637449264526 position_z:-2.398240566253662
position_x:68.54446411132812 position_y:-2.316251039505005 position_z:-2.625950336456299
position_x:68.46247863769531 position_y:-2.930809259414673 position_z:-2.9395456314086914
position_x:68.37013244628906 position_y:-3.539912700653076 position_z:-3.2642436027526855
position_x:68.27696228027344 position_y:-4.051246166229248 position_z:-3.5903778076171875
position_x:68.16463470458984 position_y:-4.609900951385498 position_z:-3.887032985687256
position_x:68.01644897460938 position_y:-5.207102298736572 position_z:-4.269063949584961
position_x:67.86988830566406 position_y:-5.723550796508789 position_z:-4.6538238525390625
position_x:67.7365951538086 position_y:-6.150087356567383 position_z:-5.027801990509033
position_x:67.59745788574219 position_y:-6.558435916900635 position_z:-5.354331970214844
position_x:67.42925262451172 position_y:-6.9878058433532715 position_z:-5.751033306121826
position_x:67.22114562988281 position_y:-7.4943060874938965 position_z:-6.087575435638428
position_x:66.9888687133789 position_y:-8.031835556030273 position_z:-6.300390720367432
position_x:66.7350082397461 position_y:-8.55988597869873 position_z:-6.477390289306641
position_x:66.49571228027344 position_y:-9.025343894958496 position_z:-6.534034729003906
position_x:66.28421783447266 position_y:-9.43624496459961 position_z:-6.5385284423828125
position_x:66.09632873535156 position_y:-9.860177040100098 position_z:-6.590230941772461
position_x:66.00950622558594 position_y:-10.184558868408203 position_z:-6.677811622619629
position_x:65.99885559082031 position_y:-10.5313720703125 position_z:-6.749898910522461
position_x:66.04415130615234 position_y:-10.821434020996094 position_z:-6.765048503875732
position_x:66.10879516601562 position_y:-11.0910005569458 position_z:-6.706700325012207
position_x:66.22056579589844 position_y:-11.370637893676758 position_z:-6.688760757446289
position_x:66.36133575439453 position_y:-11.639946937561035 position_z:-6.677198886871338
position_x:66.53102111816406 position_y:-11.930089950561523 position_z:-6.58378267288208
position_x:66.71855926513672 position_y:-12.227970123291016 position_z:-6.395212650299072
position_x:66.92227172851562 position_y:-12.535238265991211 position_z:-6.159409999847412
position_x:67.12097930908203 position_y:-12.820625305175781 position_z:-5.9758429527282715
position_x:67.34355163574219 position_y:-13.126235961914062 position_z:-5.790216445922852
position_x:67.5515365600586 position_y:-13.40397834777832 position_z:-5.603243827819824
position_x:67.81228637695312 position_y:-13.744288444519043 position_z:-5.439845085144043
position_x:68.05680084228516 position_y:-14.063338279724121 position_z:-5.265399932861328
position_x:68.30933380126953 position_y:-14.39517593383789 position_z:-5.144179821014404
position_x:68.57540893554688 position_y:-14.749119758605957 position_z:-4.996511936187744
position_x:68.85157775878906 position_y:-15.111693382263184 position_z:-4.870154857635498
position_x:69.14527893066406 position_y:-15.484564781188965 position_z:-4.801619052886963
position_x:69.40663146972656 position_y:-15.810163497924805 position_z:-4.719733715057373
position_x:69.71491241455078 position_y:-16.177085876464844 position_z:-4.713247299194336
position_x:69.9912109375 position_y:-16.49068832397461 position_z:-4.750539302825928
position_x:70.28614044189453 position_y:-16.821269989013672 position_z:-4.741418361663818
position_x:70.5767593383789 position_y:-17.144235610961914 position_z:-4.682587146759033
position_x:70.870849609375 position_y:-17.46731185913086 position_z:-4.624176025390625
position_x:71.15926361083984 position_y:-17.78105926513672 position_z:-4.563190937042236
position_x:71.45475769042969 position_y:-18.102121353149414 position_z:-4.474554061889648
position_x:71.73783111572266 position_y:-18.412691116333008 position_z:-4.4234185218811035
position_x:72.02584075927734 position_y:-18.731060028076172 position_z:-4.345113754272461
position_x:72.32140350341797 position_y:-19.0616512298584 position_z:-4.2357025146484375
position_x:72.60218811035156 position_y:-19.382572174072266 position_z:-4.141831398010254
position_x:72.887939453125 position_y:-19.713525772094727 position_z:-4.0417160987854
position_x:73.1711654663086 position_y:-20.044401168823242 position_z:-3.9642133712768555
position_x:73.48263549804688 position_y:-20.407970428466797 position_z:-3.927076578140259
position_x:73.79228210449219 position_y:-20.7713623046875 position_z:-3.905164957046509
position_x:74.11441802978516 position_y:-21.157541275024414 position_z:-3.9178214073181152
position_x:74.4343032836914 position_y:-21.543432235717773 position_z:-3.8706271648406982
position_x:74.7220458984375 position_y:-21.89284896850586 position_z:-3.801807403564453
position_x:75.02291107177734 position_y:-22.267963409423828 position_z:-3.742159366607666
position_x:75.35515594482422 position_y:-22.687719345092773 position_z:-3.6973133087158203
position_x:75.65068054199219 position_y:-23.062664031982422 position_z:-3.5804662704467773
position_x:75.90772247314453 position_y:-23.397382736206055 position_z:-3.4571456909179688
position_x:76.1583480834961 position_y:-23.73769187927246 position_z:-3.3945963382720947
position_x:76.41099548339844 position_y:-24.08929443359375 position_z:-3.3683223724365234
position_x:76.65644836425781 position_y:-24.439212799072266 position_z:-3.3960418701171875
position_x:76.93315887451172 position_y:-24.838729858398438 position_z:-3.4441518783569336
position_x:77.18551635742188 position_y:-25.203462600708008 position_z:-3.539222240447998
position_x:77.42935180664062 position_y:-25.5546932220459 position_z:-3.6319682598114014
position_x:77.69112396240234 position_y:-25.927446365356445 position_z:-3.6618154048919678
position_x:77.94539642333984 position_y:-26.28285026550293 position_z:-3.62945556640625
position_x:78.21070861816406 position_y:-26.639516830444336 position_z:-3.5804271697998047
position_x:78.49203491210938 position_y:-27.00345230102539 position_z:-3.5144379138946533
position_x:78.78343200683594 position_y:-27.37380599975586 position_z:-3.391972303390503
position_x:79.0665283203125 position_y:-27.721168518066406 position_z:-3.2698261737823486
position_x:79.37031555175781 position_y:-28.07822608947754 position_z:-3.1527223587036133
position_x:79.6643295288086 position_y:-28.412113189697266 position_z:-3.021178722381592
position_x:79.9885482788086 position_y:-28.75664520263672 position_z:-2.929804563522339
position_x:80.31883239746094 position_y:-29.08778953552246 position_z:-2.8712573051452637
position_x:80.6634750366211 position_y:-29.415388107299805 position_z:-2.8508732318878174
position_x:81.0193099975586 position_y:-29.743867874145508 position_z:-2.84796142578125
position_x:81.37492370605469 position_y:-30.06369972229004 position_z:-2.869394302368164
position_x:81.75642395019531 position_y:-30.395662307739258 position_z:-2.9556057453155518
position_x:82.12294006347656 position_y:-30.703386306762695 position_z:-3.0801568031311035
position_x:82.49794006347656 position_y:-31.006738662719727 position_z:-3.2332186698913574
position_x:82.87960815429688 position_y:-31.303829193115234 position_z:-3.4300014972686768
position_x:83.25943756103516 position_y:-31.589807510375977 position_z:-3.6107707023620605
position_x:83.63108825683594 position_y:-31.859792709350586 position_z:-3.757175922393799
position_x:84.00552368164062 position_y:-32.1164665222168 position_z:-3.9046244621276855
position_x:84.37985229492188 position_y:-32.352718353271484 position_z:-4.102634906768799
position_x:84.75675201416016 position_y:-32.574974060058594 position_z:-4.309534549713135
position_x:85.15597534179688 position_y:-32.785865783691406 position_z:-4.5786333084106445
position_x:85.54341888427734 position_y:-32.971134185791016 position_z:-4.861502170562744
position_x:85.91213989257812 position_y:-33.137691497802734 position_z:-5.0614166259765625
position_x:86.28443145751953 position_y:-33.29314041137695 position_z:-5.193554878234863
position_x:86.67854309082031 position_y:-33.44390106201172 position_z:-5.264253616333008
position_x:87.06369018554688 position_y:-33.57771682739258 position_z:-5.2827982902526855
position_x:87.44908905029297 position_y:-33.696163177490234 position_z:-5.274334907531738
position_x:87.82484436035156 position_y:-33.79677963256836 position_z:-5.249666213989258
position_x:88.21575927734375 position_y:-33.88261795043945 position_z:-5.230589389801025
position_x:88.6097183227539 position_y:-33.957828521728516 position_z:-5.200382232666016
position_x:89.01573944091797 position_y:-34.0234260559082 position_z:-5.192521572113037
position_x:89.40321350097656 position_y:-34.07905578613281 position_z:-5.167766094207764
position_x:89.80282592773438 position_y:-34.1291389465332 position_z:-5.173752784729004
position_x:90.20721435546875 position_y:-34.17400360107422 position_z:-5.213955402374268
position_x:90.61708068847656 position_y:-34.21495819091797 position_z:-5.217540740966797
position_x:91.05177307128906 position_y:-34.25318145751953 position_z:-5.187161445617676
position_x:91.56743621826172 position_y:-34.28751754760742 position_z:-5.171679973602295
position_x:91.99175262451172 position_y:-34.30921936035156 position_z:-5.125129699707031
position_x:92.41602325439453 position_y:-34.323917388916016 position_z:-5.050129413604736
position_x:92.83358001708984 position_y:-34.32741165161133 position_z:-4.999992847442627
position_x:93.27488708496094 position_y:-34.32325744628906 position_z:-4.962252140045166
position_x:93.71704864501953 position_y:-34.31391525268555 position_z:-4.9383134841918945
position_x:94.14825439453125 position_y:-34.30405807495117 position_z:-4.87621545791626
position_x:94.58912658691406 position_y:-34.293212890625 position_z:-4.824548721313477
position_x:95.03538513183594 position_y:-34.28022003173828 position_z:-4.802332878112793
position_x:95.45425415039062 position_y:-34.26784133911133 position_z:-4.795540809631348
position_x:96.01333618164062 position_y:-34.25278854370117 position_z:-4.741405487060547
position_x:96.42875671386719 position_y:-34.23904800415039 position_z:-4.742000579833984
position_x:96.81575775146484 position_y:-34.2216796875 position_z:-4.776398181915283
position_x:97.20104217529297 position_y:-34.201072692871094 position_z:-4.75490140914917
position_x:97.59172821044922 position_y:-34.17560958862305 position_z:-4.695957183837891
position_x:97.970947265625 position_y:-34.14478302001953 position_z:-4.685816287994385
position_x:98.35353088378906 position_y:-34.108734130859375 position_z:-4.69934606552124
position_x:98.73826599121094 position_y:-34.07114028930664 position_z:-4.653982162475586
position_x:99.11766815185547 position_y:-34.0334587097168 position_z:-4.607920169830322
position_x:99.51004791259766 position_y:-33.99631118774414 position_z:-4.585133075714111
position_x:99.89938354492188 position_y:-33.96189498901367 position_z:-4.5462141036987305
position_x:100.28400421142578 position_y:-33.93230438232422 position_z:-4.537504196166992
position_x:100.67814636230469 position_y:-33.90563201904297 position_z:-4.52462100982666
position_x:101.0816879272461 position_y:-33.88286209106445 position_z:-4.477365970611572
position_x:101.48677825927734 position_y:-33.86508560180664 position_z:-4.442122936248779
position_x:101.91304016113281 position_y:-33.84822082519531 position_z:-4.330321788787842
position_x:102.46723937988281 position_y:-33.824527740478516 position_z:-4.148179054260254
position_x:102.86917114257812 position_y:-33.802757263183594 position_z:-4.044302463531494
position_x:103.27234649658203 position_y:-33.775760650634766 position_z:-3.9001359939575195
position_x:103.68744659423828 position_y:-33.74163055419922 position_z:-3.7424564361572266
position_x:104.11576080322266 position_y:-33.6988410949707 position_z:-3.5876054763793945
position_x:104.53520202636719 position_y:-33.6484375 position_z:-3.474412441253662
position_x:104.95848846435547 position_y:-33.59298324584961 position_z:-3.4137730598449707
position_x:105.38143157958984 position_y:-33.53324508666992 position_z:-3.3792314529418945
position_x:105.80168151855469 position_y:-33.47089385986328 position_z:-3.309807538986206
position_x:106.22791290283203 position_y:-33.402687072753906 position_z:-3.2696118354797363
position_x:106.64289093017578 position_y:-33.3334846496582 position_z:-3.261265993118286
