position_x:0.0 position_y:0.0 position_z:1.1752631664276123
position_x:57.42853546142578 position_y:29.535751342773438 position_z:-1.7126166820526123
position_x:57.94542694091797 position_y:29.29693603515625 position_z:-1.7834018468856812
position_x:58.40201187133789 position_y:29.082658767700195 position_z:-1.873571515083313
position_x:58.87574005126953 position_y:28.85453224182129 position_z:-1.942579746246338
position_x:59.50065612792969 position_y:28.538557052612305 position_z:-1.9600498676300049
position_x:59.94654083251953 position_y:28.293922424316406 position_z:-2.0063939094543457
position_x:60.41122817993164 position_y:28.03026008605957 position_z:-1.9804607629776
position_x:60.85916519165039 position_y:27.763042449951172 position_z:-1.9279847145080566
position_x:61.29862594604492 position_y:27.47892189025879 position_z:-1.939466118812561
position_x:61.861106872558594 position_y:27.094968795776367 position_z:-1.942124605178833
position_x:62.29752731323242 position_y:26.787588119506836 position_z:-1.890817403793335
position_x:62.77294921875 position_y:26.44586944580078 position_z:-1.7908427715301514
position_x:63.19908905029297 position_y:26.13254165649414 position_z:-1.7619880437850952
position_x:63.62371826171875 position_y:25.80748176574707 position_z:-1.7764581441879272
position_x:64.1737060546875 position_y:25.371274948120117 position_z:-1.9085134267807007
position_x:64.57376861572266 position_y:25.049659729003906 position_z:-2.0695419311523438
position_x:64.97822570800781 position_y:24.721189498901367 position_z:-2.3223366737365723
position_x:65.36742401123047 position_y:24.403934478759766 position_z:-2.638889789581299
position_x:65.76675415039062 position_y:24.07426643371582 position_z:-2.988978147506714
position_x:66.26148986816406 position_y:23.657251358032227 position_z:-3.3764567375183105
position_x:66.59294128417969 position_y:23.36248016357422 position_z:-3.704249620437622
position_x:66.88798522949219 position_y:23.07393455505371 position_z:-4.050777435302734
position_x:67.13285827636719 position_y:22.79627227783203 position_z:-4.425317287445068
position_x:67.33887481689453 position_y:22.512731552124023 position_z:-4.821200847625732
position_x:67.52424621582031 position_y:22.20500946044922 position_z:-5.198371887207031
position_x:67.67160034179688 position_y:21.921464920043945 position_z:-5.464427947998047
position_x:67.79474639892578 position_y:21.625328063964844 position_z:-5.686914443969727
position_x:67.88581085205078 position_y:21.298402786254883 position_z:-5.909633636474609
position_x:67.91817474365234 position_y:20.999061584472656 position_z:-6.145936965942383
position_x:67.89891052246094 position_y:20.697641372680664 position_z:-6.405059814453125
position_x:67.84400939941406 position_y:20.39954948425293 position_z:-6.620772838592529
position_x:67.76041412353516 position_y:20.108518600463867 position_z:-6.772218704223633
position_x:67.63314819335938 position_y:19.78271484375 position_z:-6.860342979431152
position_x:67.49334716796875 position_y:19.513870239257812 position_z:-6.902603626251221
position_x:67.32657623291016 position_y:19.23621368408203 position_z:-6.905458450317383
position_x:67.16615295410156 position_y:18.982479095458984 position_z:-6.838249206542969
position_x:66.9974594116211 position_y:18.714624404907227 position_z:-6.702211380004883
position_x:66.80654907226562 position_y:18.370248794555664 position_z:-6.481112480163574
position_x:66.6756591796875 position_y:18.080421447753906 position_z:-6.296149253845215
position_x:66.5679931640625 position_y:17.772624969482422 position_z:-6.125374794006348
position_x:66.48712158203125 position_y:17.43063735961914 position_z:-6.00054407119751
position_x:66.42845153808594 position_y:17.070764541625977 position_z:-5.879051208496094
position_x:66.38890838623047 position_y:16.561614990234375 position_z:-5.704570770263672
position_x:66.4011459350586 position_y:16.167766571044922 position_z:-5.66014289855957
position_x:66.44158172607422 position_y:15.764120101928711 position_z:-5.692907810211182
position_x:66.50824737548828 position_y:15.314001083374023 position_z:-5.772801876068115
position_x:66.58187103271484 position_y:14.87042236328125 position_z:-5.777151107788086
position_x:66.68936920166016 position_y:14.298053741455078 position_z:-5.69872522354126
position_x:66.7812271118164 position_y:13.854362487792969 position_z:-5.6809611320495605
position_x:66.8790054321289 position_y:13.401971817016602 position_z:-5.756738185882568
position_x:66.97828674316406 position_y:12.949338912963867 position_z:-5.882696151733398
position_x:67.0763931274414 position_y:12.494414329528809 position_z:-5.93950080871582
position_x:67.189697265625 position_y:11.93956470489502 position_z:-5.975740432739258
